DATE,SPX_Adj_Close,SPX_Volume, DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
2/19/2014,1828.75,3661570000,16040.56,18080.48509,17618342.82,11194.04286,2.665397502,4237.95,-357.2558182,96.93218182,1.6718,0.009775171,1.3762
2/20/2014,1839.780029,3404980000,16133.23,18083.99929,17618818.26,11195.8,2.689594899,4267.55,-356.8562576,96.93874242,1.664,0.00977326,1.369
2/21/2014,1836.25,3403880000,16103.3,18087.51348,17619293.7,11197.55714,2.713792296,4263.41,-356.456697,96.94530303,1.663,0.00973615,1.3722
2/24/2014,1847.609985,4014530000,16207.14,18091.02768,17619769.14,11199.31429,2.737989692,4292.97,-356.0571364,96.95186364,1.6641,0.009761812,1.3744
2/25/2014,1845.119995,3515560000,16179.66,18094.54188,17620244.58,11201.07143,2.762187089,4287.59,-355.6575758,96.95842424,1.6696,0.009784736,1.3749
2/26/2014,1845.160034,3716730000,16198.41,18098.05608,17620720.02,11202.82857,2.786384486,4292.06,-355.2580152,96.96498485,1.6648,0.009769441,1.3668
2/27/2014,1854.290039,3547460000,16272.65,18101.57027,17621195.45,11204.58571,2.810581882,4318.93,-354.8584545,96.97154545,1.6693,0.009792401,1.3724
2/28/2014,1859.449951,3917450000,16321.71,18105.08447,17621670.89,11206.34286,2.834779279,4308.12,-354.4588939,96.97810606,1.675,0.009796238,1.3806
3/1/2014,1852.589966,3672835000,16244.87,18108.59867,17622146.33,11208.1,2.858976675,4292.71,-354.0593333,96.98466667,1.6731,0.009831032,1.37845
3/3/2014,1845.72998,3428220000,16168.03,18112.11286,17622621.77,11210.14545,2.829701928,4277.3,-353.6597727,96.99122727,1.6712,0.009865825,1.3763
3/4/2014,1873.910034,3765770000,16395.88,18115.62706,17623097.21,11212.19091,2.80042718,4351.97,-353.2602121,96.99778788,1.6665,0.009786651,1.3731
3/5/2014,1873.810059,3392990000,16360.18,18119.14126,17623572.65,11214.23636,2.771152433,4357.97,-352.8606515,97.00434848,1.6729,0.00977326,1.3734
3/6/2014,1877.030029,3360450000,16421.89,18122.65545,17624048.09,11216.28182,2.741877685,4352.13,-352.4610909,97.01090909,1.6743,0.009705911,1.3848
3/7/2014,1878.040039,3564740000,16452.72,18126.16965,17624523.53,11218.32727,2.712602938,4336.22,-352.0615303,97.0174697,1.6725,0.009673051,1.3868
3/10/2014,1877.170044,3021350000,16418.68,18129.68385,17624998.97,11220.37273,2.68332819,4334.45,-351.6619697,97.0240303,1.6633,0.009687106,1.388
3/11/2014,1867.630005,3392400000,16351.25,18133.19805,17625474.41,11222.41818,2.654053442,4307.19,-351.2624091,97.03059091,1.6628,0.009691801,1.3867
3/12/2014,1868.199951,3270860000,16340.08,18136.71224,17625949.85,11224.46364,2.624778695,4323.33,-350.8628485,97.03715152,1.6605,0.009733307,1.3904
3/13/2014,1846.339966,3670990000,16108.89,18140.22644,17626425.29,11226.50909,2.595503947,4260.42,-350.4632879,97.04371212,1.6677,0.009792401,1.3927
3/14/2014,1841.130005,3285460000,16065.67,18143.74064,17626900.73,11228.55455,2.5662292,4245.4,-350.0637273,97.05027273,1.663,0.009856101,1.3924
3/17/2014,1858.829956,2860490000,16247.22,18147.25483,17627376.17,11230.6,2.536954452,4279.95,-349.6641667,97.05683333,1.6645,0.009840583,1.3927
3/18/2014,1872.25,2930190000,16336.19,18150.76903,17627851.61,11232.64545,2.507679705,4333.31,-349.2646061,97.06339394,1.6574,0.009864852,1.3913
3/19/2014,1860.77002,3289210000,16222.17,18154.28323,17628327.05,11234.69091,2.478404957,4307.6,-348.8650455,97.06995455,1.6629,0.009848336,1.391
3/20/2014,1872.01001,3327540000,16331.05,18157.79742,17628802.48,11236.73636,2.449130209,4319.29,-348.4654848,97.07651515,1.6511,0.009766579,1.3784
3/21/2014,1866.52002,5270710000,16302.77,18161.31162,17629277.92,11238.78182,2.419855462,4276.79,-348.0659242,97.08307576,1.6498,0.009767533,1.3783
3/24/2014,1857.439941,3409000000,16276.69,18164.82582,17629753.36,11240.82727,2.390580714,4226.39,-347.6663636,97.08963636,1.6491,0.009783778,1.3784
3/25/2014,1865.619995,3200560000,16367.88,18168.34002,17630228.8,11242.87273,2.361305967,4234.27,-347.266803,97.09619697,1.6507,0.00977326,1.3777
3/26/2014,1852.560059,3480850000,16268.99,18171.85421,17630704.24,11244.91818,2.332031219,4173.58,-346.8672424,97.10275758,1.6566,0.009775171,1.3786
3/27/2014,1849.040039,3733430000,16264.23,18175.36841,17631179.68,11246.96364,2.302756472,4151.23,-346.4676818,97.10931818,1.6627,0.009794319,1.3752
3/28/2014,1857.619995,2955520000,16323.06,18178.88261,17631655.12,11249.00909,2.273481724,4155.76,-346.0681212,97.11587879,1.6637,0.009716284,1.3753
