,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
353,2000-05-11,0.0092191389324237,0.9021,1.4997,
354,2000-05-12,0.0091962479308442,0.908,1.5172,
355,2000-05-15,0.0091340884179758,0.9138,1.5075,
356,2000-05-16,0.0091116173120728,0.9053,1.5008,
357,2000-05-17,0.0091299187437231,0.8921,1.4905,
358,2000-05-18,0.0091996320147194,0.8952,1.4818,
359,2000-05-19,0.0093554121059032,0.8946,1.4855,
360,2000-05-22,0.0093440478415249,0.9036,1.4907,
361,2000-05-23,0.0093703148425787,0.9032,1.4728,
362,2000-05-24,0.0092954080684142,0.9096,1.4755,
363,2000-05-25,0.0093040565686639,0.9072,1.4705,
364,2000-05-26,0.0093300988990483,0.931,1.4875,
365,2000-05-29,,,,
366,2000-05-30,0.0093949642991356,0.9314,1.495,
367,2000-05-31,0.0092816038611472,0.9328,1.4968,
368,2000-06-01,0.0091962479308442,0.9307,1.4915,
369,2000-06-02,0.0092464170134073,0.9432,1.5079,
370,2000-06-05,0.009307520476545,0.9471,1.5135,
371,2000-06-06,0.0094661113214691,0.957,1.5235,
372,2000-06-07,0.0094786729857819,0.96,1.5225,
373,2000-06-08,0.0094464386926128,0.9548,1.506,
374,2000-06-09,0.009365049634763,0.9526,1.5079,
375,2000-06-12,0.0093764650726676,0.9544,1.512,
376,2000-06-13,0.0093641726753441,0.9619,1.513,
377,2000-06-14,0.0093554121059032,0.959,1.5023,
378,2000-06-15,0.0093879083740142,0.953,1.5103,
379,2000-06-16,0.0094144228958764,0.9648,1.5165,
380,2000-06-19,0.0094571590694155,0.9622,1.5154,
381,2000-06-20,0.0094858660595712,0.9557,1.51,
382,2000-06-21,0.0094786729857819,0.9455,1.497,
383,2000-06-22,0.0095785440613026,0.9398,1.511,
384,2000-06-23,0.0095611435127641,0.9358,1.501,
385,2000-06-26,0.0094643195154268,0.9382,1.499,
386,2000-06-27,0.0094759783947692,0.9444,1.5,
387,2000-06-28,0.0094777746185195,0.9444,1.5107,
388,2000-06-29,0.0095156532495955,0.9515,1.5194,
389,2000-06-30,0.0094215187488223,0.9545,1.513,
390,2000-07-03,0.0094661113214691,0.9526,1.5135,
391,2000-07-04,,,,
392,2000-07-05,0.0093536619586568,0.9548,1.512,
393,2000-07-06,0.0093135885256589,0.9527,1.512,
394,2000-07-07,0.0092755774046934,0.9484,1.5143,
395,2000-07-10,0.0093370681605975,0.9521,1.5137,
396,2000-07-11,0.0093519124660993,0.9497,1.514,
397,2000-07-12,0.0092284976005906,0.9401,1.5068,
398,2000-07-13,0.0092361688371663,0.9339,1.499,
399,2000-07-14,0.0092695587690025,0.9374,1.499,
400,2000-07-17,0.0092140422003132,0.9351,1.492,
401,2000-07-18,0.0092336103416435,0.9322,1.4945,
402,2000-07-19,0.0092421441774491,0.9237,1.4942,
403,2000-07-20,0.0092686996014459,0.9292,1.5094,
404,2000-07-21,0.0091675834250091,0.9343,1.5167,
405,2000-07-24,0.0091810503121557,0.9314,1.514,
406,2000-07-25,0.0091491308325709,0.9391,1.519,
407,2000-07-26,0.0091508052708638,0.9413,1.5154,
408,2000-07-27,0.0091617040769583,0.9331,1.5116,
409,2000-07-28,0.0091215908054364,0.9246,1.5025,
410,2000-07-31,0.0091174325309992,0.9266,1.4983,
411,2000-08-01,0.0091349228099022,0.9228,1.4992,
412,2000-08-02,0.009193711501333,0.9137,1.4926,
413,2000-08-03,0.0092284976005906,0.9042,1.4947,
414,2000-08-04,0.0092131932927952,0.9075,1.5022,
415,2000-08-07,0.0091751536838242,0.9105,1.507,
416,2000-08-08,0.0092047128129602,0.9019,1.5022,
417,2000-08-09,0.0092601166774701,0.8991,1.4992,
418,2000-08-10,0.0091996320147194,0.9077,1.498,
419,2000-08-11,0.0092013249907986,0.9046,1.504,
420,2000-08-14,0.0091307523739956,0.9037,1.506,
421,2000-08-15,0.0091743119266055,0.9135,1.5056,
422,2000-08-16,0.0092123445416858,0.9143,1.4988,
423,2000-08-17,0.0092182890855457,0.9152,1.4992,
424,2000-08-18,0.009222539887485,0.9068,1.4895,
425,2000-08-21,0.0092140422003132,0.9027,1.49,
426,2000-08-22,0.0092302012183865,0.8965,1.4797,
427,2000-08-23,0.0093440478415249,0.8967,1.4813,
428,2000-08-24,0.0093554121059032,0.9028,1.4806,
429,2000-08-25,0.0093309694877297,0.9024,1.4745,
430,2000-08-28,0.009394081728511,0.9002,1.4716,
431,2000-08-29,0.0094161958568738,0.8966,1.4616,
432,2000-08-30,0.0093923170846247,0.8924,1.456,
433,2000-08-31,0.0093755859741233,0.8878,1.4515,
434,2000-09-01,0.0094535829079221,0.8993,1.4605,
435,2000-09-04,,,,
436,2000-09-05,0.0094446543256516,0.8876,1.4522,
437,2000-09-06,0.0094268476621417,0.8702,1.4455,
438,2000-09-07,0.0095147478591817,0.874,1.438,
439,2000-09-08,0.0094312930302744,0.8664,1.4196,
440,2000-09-11,0.0094366330093422,0.8624,1.4123,
441,2000-09-12,0.0093519124660993,0.8596,1.402,
442,2000-09-13,0.0093361964335729,0.864,1.4125,
443,2000-09-14,0.0093240093240093,0.8617,1.406,
444,2000-09-15,0.0093170595360104,0.8572,1.4005,
445,2000-09-18,0.0093571629082062,0.8523,1.4015,
446,2000-09-19,0.0093440478415249,0.8514,1.408,
447,2000-09-20,0.0093659267584527,0.8462,1.4107,
448,2000-09-21,0.0093896713615023,0.8558,1.428,
449,2000-09-22,0.0092644061515656,0.8793,1.4568,
450,2000-09-25,0.0092910898448388,0.8738,1.454,
451,2000-09-26,0.0092910898448388,0.8815,1.46,
452,2000-09-27,0.009307520476545,0.8805,1.4607,
453,2000-09-28,0.0092945441026117,0.8826,1.4635,
454,2000-09-29,0.0092678405931417,0.8837,1.4787,
455,2000-10-02,0.0091903317709769,0.8806,1.4675,
456,2000-10-03,0.0092030185900975,0.8741,1.4565,
457,2000-10-04,0.009149967975112,0.8726,1.4558,
458,2000-10-05,0.0091491308325709,0.8685,1.4502,
459,2000-10-06,0.0091903317709769,0.868,1.4445,
460,2000-10-09,,,,
461,2000-10-10,0.0092678405931417,0.8682,1.4484,
462,2000-10-11,0.0092910898448388,0.8715,1.462,
463,2000-10-12,0.0092954080684142,0.8644,1.4735,
464,2000-10-13,0.0092876381536175,0.8568,1.4597,
465,2000-10-16,0.0092336103416435,0.8489,1.4455,
466,2000-10-17,0.0092464170134073,0.8507,1.4426,
